Public Display Name,Internal Slug,Categories,Poster,Mapped Episodes,Episode Order Status,Orientation,Paywall Status,Mux Asset Mapping,Known Issues
The Escort They Framed,the-mistress-trap,"drama,popular",OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 48 != mapped 61 (auto-normalized at runtime)
A Fortune to Die For,the-dumb-billionaire-heiress-in-love,"drama,popular",OK,50,OK (contiguous 1..N),vertical-9:16,FREE (all),MAPPED,catalog count 58 != mapped 50 (auto-normalized at runtime)
Do Not Deceive Me,do-not-deceive-me,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 60 (auto-normalized at runtime)
Collateral Hearts,collateral-hearts,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 60 (auto-normalized at runtime)
The Billionaire's Betrayal,the-billionaires-betrayal,drama,OK,59,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 59 (auto-normalized at runtime)
Undercovered Heart,undercovered-heart,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 60 (auto-normalized at runtime)
Under Her Control,under-her-control,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 60 (auto-normalized at runtime)
Two Worlds Apart,two-worlds-apart,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 60 (auto-normalized at runtime)
"Two Brothers, One Bride",the-blackthornes,"drama,popular",OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 60 != mapped 51 (auto-normalized at runtime)
Marry the Wrong Bride,marry-the-wrong-bride,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 50 (auto-normalized at runtime)
Destined to Be,destined-to-be,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 60 != mapped 61 (auto-normalized at runtime)
Betrayed at the Altar,the-day-we-got-married,"drama,popular",OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 60 (auto-normalized at runtime)
The Winter Veil,the-winter-veil,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 61 (auto-normalized at runtime)
The Marriage Contract,the-marriage-contract,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 60 (auto-normalized at runtime)
The Haunted Sisters,the-haunted-sisters,drama,OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 51 (auto-normalized at runtime)
Deadly Revelations,the-missing-piece,"drama,popular",OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 61 (auto-normalized at runtime)
Mysterious Murder,mysterious-murder,drama,OK,48,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 48 (auto-normalized at runtime)
Married to a Stranger,married-to-a-stranger,drama,OK,62,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
Blood Contract,blood-contract,drama,OK,54,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 59 != mapped 54 (auto-normalized at runtime)
Cleopatra,cleopatra,drama,OK,49,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 61 != mapped 49 (auto-normalized at runtime)
Blackmail Baby,im-obsessed-with-my-boss,"drama,popular",OK,49,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 49 (auto-normalized at runtime)
Duty of Desire,duty-of-desire,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 61 (auto-normalized at runtime)
Revenge in Couture,echo-of-vengeance,"drama,popular",OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 50 (auto-normalized at runtime)
Faded Threads,faded-threads,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 48 != mapped 61 (auto-normalized at runtime)
The Killer Caregiver,hidden-agenda,"drama,popular",OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 50 (auto-normalized at runtime)
Hollywood Star's Fake Girlfriend,hollywood-stars-fake-girlfriend,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 60 != mapped 50 (auto-normalized at runtime)
I Think My Wife Wants to Kill Me,i-think-my-wife-wants-to-kill-me,drama,OK,59,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 59 (auto-normalized at runtime)
In Love with My Godfather's Daughter,in-love-with-my-godfathers-daughter,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 50 (auto-normalized at runtime)
"Love, Lies and Bloodline",love-lies-and-bloodline,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 60 (auto-normalized at runtime)
Love's Perfect Crime,loves-perfect-crime,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 60 (auto-normalized at runtime)
Mafia Lord's Son Has a Secret Love for His Stepmom,mafia-lords-secret-love,drama,OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 60 != mapped 51 (auto-normalized at runtime)
My Celebrity Boyfriend Killed Me,my-celebrity-boyfriend-killed-me,drama,OK,41,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 41 (auto-normalized at runtime)
My Handsome Bodyguard,my-handsome-bodyguard,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 50 (auto-normalized at runtime)
Never Mess with a Badass Girl,never-mess-with-a-badass-girl,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 50 (auto-normalized at runtime)
Sisters Have Crush on the Same Man,sisters-have-crush-on-the-same-man,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 50 (auto-normalized at runtime)
The Billionaire's Vow,the-billionaires-vow,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 60 (auto-normalized at runtime)
Lost and Found,lost-and-found,new,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 48 != mapped 60 (auto-normalized at runtime)
Help! I'm Falling in Love with My Rude CEO,help-im-falling-in-love-with-my-rude-ceo,new,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 65 != mapped 60 (auto-normalized at runtime)
An Affair with My Boss,an-affair-with-my-boss,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 60 (auto-normalized at runtime)
A Love Once Betrayed,a-love-once-betrayed,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 62 != mapped 60 (auto-normalized at runtime)
In Her Shadow,in-her-shadow,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 60 (auto-normalized at runtime)
Good for Him,good-for-him,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 61 (auto-normalized at runtime)
One Night Stand,one-night-stand,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 50 (auto-normalized at runtime)
If Only You Were Mine,if-only-you-were-mine,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 50 (auto-normalized at runtime)
One Night One Forever,one-night-one-forever,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 60 (auto-normalized at runtime)
Runaway Bride,runaway-bride,drama,OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 51 (auto-normalized at runtime)
The Billionaire's Lost Love,the-billionaires-lost-love,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 60 (auto-normalized at runtime)
Camouflage,camouflage,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 60 (auto-normalized at runtime)
Killer Romance,killer-romance,drama,OK,59,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 59 (auto-normalized at runtime)
Honey Gold,honey-gold,drama,OK,61,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 61 (auto-normalized at runtime)
Revenge On My Cheating Fianc\u00e9,revenge-on-my-cheating-fiance,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 50 (auto-normalized at runtime)
The Call Girl Bought by Betrayal,the-escort,"drama,popular",OK,52,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 52 (auto-normalized at runtime)
School Hall,school-hall,drama,OK,49,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 49 (auto-normalized at runtime)
Conflicted Hearts,conflicted-hearts,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
My Sister Stole My Man,my-sister-stole-my-man,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 46 != mapped 50 (auto-normalized at runtime)
Storage Pirates,storage-pirates,reality,OK,13,OK (contiguous 1..N),horizontal-16:9,FREE (all),MAPPED,catalog count 14 != mapped 13 (auto-normalized at runtime)
The Phoenix Conspiracy,the-phoenix-conspiracy,drama,OK,48,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 48 (auto-normalized at runtime)
The Chauffeur,the-chauffeur,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
Twisted Fates,twisted-fates,drama,OK,49,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 49 (auto-normalized at runtime)
The Dumb Billionaire Heiress In Love Pt. II,the-dumb-billionaire-heiress-pt-2,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 50 (auto-normalized at runtime)
Tied By Fate,tied-by-fate,new,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 50 (auto-normalized at runtime)
Power and Promises,the-crown,"drama,new,popular",OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 51 (auto-normalized at runtime)
Rosy Psycho,rosy-psycho,drama,OK,49,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 49 (auto-normalized at runtime)
The Unforgettable Love,the-unforgettable-love,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 58 != mapped 50 (auto-normalized at runtime)
Why I Did It,why-i-did-it,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 48 != mapped 60 (auto-normalized at runtime)
The CEO,the-ceo,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 55 != mapped 60 (auto-normalized at runtime)
Twist of Time,twist-of-time,new,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 60 (auto-normalized at runtime)
She Is Mine,she-is-mine,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 52 != mapped 60 (auto-normalized at runtime)
The Pendleton Secret,the-pendleton-secret,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 54 != mapped 60 (auto-normalized at runtime)
The Perfect Husband,the-perfect-husband,drama,OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 50 != mapped 60 (auto-normalized at runtime)
The Inheritance Game,the-inheritance-game,"drama,new",OK,51,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,catalog count 56 != mapped 51 (auto-normalized at runtime)
I'm Obsessed with My Boss Part II,im-obsessed-with-my-boss-2,drama,OK,50,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,50 eps uploaded but not live
Too Much Junk,too-much-junk,music,OK,1,OK (contiguous 1..N),vertical-9:16,FREE (all),MAPPED,none
Exes Premiere,exes-premiere,red-carpet,OK,12,OK (contiguous 1..N),vertical-9:16,FREE (all),MAPPED,none
Love Awards,love-awards,red-carpet,OK,13,OK (contiguous 1..N),vertical-9:16,FREE (all),MAPPED,none
Billionaire Daughter's Love Triangle,billionaire-daughters-love-triangle,"drama,new",OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
Married to My Brother's Ex,married-to-my-brothers-ex,"drama,new",OK,62,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
Tangled in Desire,tangled-in-desire,"drama,new",OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
The Escaping Mistress,the-escaping-mistress,"drama,new",OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
Trial Marriage to a Billionaire \u2014 Season 2,trial-marriage-to-a-billionaire-s2,"drama,new",OK,60,OK (contiguous 1..N),vertical-9:16,"FREE 1-5, $1.99 unlock after",MAPPED,none
